id,message,label
10873,list the current price of microsoft shares,qa_stock
8491,where is the nearest smoke shop,recommendation_locations
4549,please start over.,general_repeat
5948,read my lists to me,lists_query
1663,mute volume now,audio_volume_mute
7001,start play fifa seventeen,play_game
9835,in delhi traffic level too high,transport_traffic
2465,i need the time zone from london england instead of central time zone,datetime_convert
687,resume the last kingdom for me,play_audiobook
5919,what are my available lists,lists_query
1551,please reduce the speaker volume,audio_volume_down
4821,start vacuum cleaner,iot_cleaning
3475,olly would you shut off.,general_commandstop
5702,add grocery shopping to my to do list,lists_createoradd
8052,answer this mathematical question,qa_maths
10893,search events and meetups for central park west,recommendation_events
4777,clean my house,iot_cleaning
7250,play the next recording,play_podcasts
7905,how old is cher,qa_factoid
10041,i need to set an alarm how many do i have set,alarm_query
9119,prepare the order as soon as possible,takeaway_query
1240,take off my alarms,alarm_remove
1078,see see for me the alarms that you have set tomorrow morning,alarm_query
6117,i want you to delete my shopping list from last month,lists_remove
4673,let's try what you said one more time again please.,general_repeat
10840,what is the birthday of hemingway,qa_factoid
2169,hey turn on your reminders for tomorrow's meeting at ten am,calendar_set
2274,whats needed to make pizza,cooking_recipe
5166,switch light to lowest level in dining area,iot_hue_lightdim
7271,jump to next podcast,play_podcasts
994,when i should leave to office,transport_query
720,play my rap playlist,play_music
1111,show me the list of alarms,alarm_query
7671,give me the definition of school,qa_definition
10111,increase the volume to max please,audio_volume_up
3885,"s1, will you please further explain me about what you said.",general_explain
9134,whats up with my takeaway,takeaway_query
9395,what is the timing of bagmati express,transport_query
3635,i'd like you check and confirm that please.,general_confirm
7480,what is the exchange rate for pounds and u. s. d.,qa_currency
4723,my vacuum cleaner should start between ten to eleven am everyday,iot_cleaning
4225,i think this is not correct command.,general_negate
5131,color change of lights,iot_hue_lightchange
9814,what is the traffic like this morning,transport_traffic
2967,is this the correct area code for my boss,email_querycontact
5309,control lights turn off room lights,iot_hue_lightoff
2073,remove my event at one pm in my calendar,calendar_remove
4316,ah that's awesome work.,general_praise
1746,increase volume by two levels,audio_volume_up
7561,if i have a dablune how many dollars is that,qa_currency
10274,send email to daddy i'll be going to the birthday party,email_sendemail
489,dim the lights at the living room,iot_hue_lightdim
2072,find dinner with mom on my calendar and delete it,calendar_remove
6294,that song is my favorite,music_likeness
845,list me the stock of apple right now,qa_stock
3910,can you elaborate further on this to me please.,general_explain
7059,open songs by prince,play_music
8746,send a tweet,social_post
11025,i need a train ticket to denver,transport_query
9918,get today's weather report,weather_query
578,tell me my lists,lists_query
2202,remind me of meeting five minutes before time,calendar_set
6011,could you open my list app and check for groceries please,lists_query
2688,add email to contacts,email_addcontact
1048,how much traffic does atlanta georgia usually have,transport_traffic
7683,explain photosynthesis,qa_definition
10200,can i get the time,datetime_query
4782,start house cleaning,iot_cleaning
5388,all lights has to be turned off during the day,iot_hue_lightoff
9329,can you see if there any trains going to,transport_query
4898,start up the coffee machine,iot_coffee
10671,please tell me the name of this band,music_query
3788,"anything would be good with me, olly.",general_dontcare
1975,cancel my event on june nineteenth,calendar_remove
10708,resume play where i left off in book on audible,play_audiobook
1425,set an alarm for five hundred and thirty,alarm_set
4589,please tell me it one more again.,general_repeat
11000,could you please confirm if paradise does takeaway,takeaway_query
2430,i need you to convert nine am cst to est time,datetime_convert
932,did anyone get engaged or give birth among my online friends,social_query
411,can you please tell me who are you,general_quirky
3624,would you please check and confirm it.,general_confirm
6107,remove the sms recipient which have initials s,lists_remove
5885,can you read me my lists,lists_query
1426,put alarm at five am,alarm_set
8784,tweet a complaint to old navy website,social_post
10448,i need to hear again.,general_repeat
3344,yeap it was correct.,general_affirm
7519,exchange rate between dollar and mexican peso,qa_currency
10304,"that is all, just cancel.",general_commandstop
14,can you tell me what alarms i have set,alarm_query
6024,all food items with the prefix dry should be taken away from the list,lists_remove
3320,wonderful response to command.,general_affirm
1724,up the volume the sound is too low,audio_volume_up
7137,open my amazon music app and play my playlist,play_music
